,original_title,Director,Combined,overview
3686,Kathputli,Brij,"Jeetendra,Mumtaz,Helen,Brij,Family,Romance,Kathputli",Nisha (Mumtaz) loves Vishal (Jeetendra) and they get married. Ignoring basic driving safety rules they end up in an accident. Vishal needs serious surgical attention. Nisha tries to raise ...                    
3689,Lakhon Me Ek,S.S. Balan,"Mehmood,Pran,Ramesh Deo,S.S. Balan,Comedy,Drama,Lakhon Me Ek",An abused homeless male and a mentally-challenged woman become friends.
3690,Lal Patthar,Sushil Majumdar,"Raaj Kumar,Hema Malini,Rakhee Gulzar,Sushil Majumdar,Drama,Lal Patthar",Raja Kumar Bahadur alias Gyan Shankar Rai has been a total abstainer all his life  never touching a drop of alcohol  and keeping away from women and all known vices all his life. Then one ...                    
3691,Main Sunder Hoon, ,"Mehmood,Biswajit Chatterjee,Leena Chandavarkar, ,Comedy,Drama,Romance,Main Sunder Hoon",Plain-looking  buck-toothed Sundar works as a waiter in the Rasraj Hotel. One day he meets with Radha  the daughter of the hotel owner and falls in love with her. She indicates that she ...                    
3692,Man Mandir,Tapi Chanakya,"Waheeda Rehman,Sanjeev Kumar,Sudesh Kumar,Tapi Chanakya,Drama,Family,Man Mandir",Orphaned at a very young age  Deepak and his sister  Laxmi  live a poor lifestyle. Deepak is introduced to Krishna and soon both get married and live together with Krishna's brother  Ramu. ...                    
3693,Kati Patang,Shakti Samanta,"Rajesh Khanna,Asha Parekh,Prem Chopra,Shakti Samanta,Drama,Family,Musical,Kati Patang",A runaway bride promises her dying widowed friend that she will assume her identity and look after her infant child.
3694,Mehboob Ki Mehndi,Harnam Singh Rawail,"Rajesh Khanna,Leena Chandavarkar,Pradeep Kumar,Harnam Singh Rawail,Drama,Musical,Romance,Mehboob Ki Mehndi",Yusuf lives a wealthy lifestyle with his businessman dad  Safdarjang  who is confined to a wheel-chair. When Yusuf's precocious nephew  Khalid alias Phirangi's tutor  Mrs. Albert complains ...                    
3696,Memsaab,Atma Ram,"Yogeeta Bali,Vinod Khanna,Johnny Walker,Atma Ram,Thriller,Memsaab",A man suspected of murder must track the real killer down.
3697,Maryada,Aravind Sen,"Rajesh Khanna,Raaj Kumar,Mala Sinha,Aravind Sen,Family,Romance,Maryada",Lalita lives with her widowed mother in a small village in India. One day while traveling by road  she is stranded  and a young man named Raja Babu comes to her assistance. Both fall in ...                    
3698,Mere Apne,Gulzar,"Meena Kumari,Vinod Khanna,Shatrughan Sinha,Gulzar,Drama,Mere Apne",Anandi Devi is an old widow living in her village she is bought to the city by her distant relative Arun. Anandi Devi realizes that Arun and his wife wanted to keep her as a maid following ...                    
3699,Mera Gaon Mera Desh,Raj Khosla,"Asha Parekh,Dharmendra,Vinod Khanna,Raj Khosla,Action,Drama,Mera Gaon Mera Desh",Ajit saves the village from the dakus (bandits); whilst having romance with Anju.
3700,Naya Zamana,Pramod Chakravorty,"Dharmendra,Hema Malini,Ashok Kumar,Pramod Chakravorty,Drama,Musical,Naya Zamana",Anoop (Dharmendra) is a struggling writer. One day he meets with wealthy and beautiful Seema (Hema Malini) and both fall in love. When Seema's brother Rajan Choudhury (Pran) finds out  he ...                    
3701,Paras,C.P. Dixit,"Sanjeev Kumar,Rakhee Gulzar,Shatrughan Sinha,C.P. Dixit,Drama,Family,Paras",Dharam Singh and his sister Bela's destinies gets re-shaped when they make enemy with the powerful and influential Thakur Arjun Singh. Even after moving to the city things are still not ...                    
3702,Patanga,Kedar Kapoor,"Shashi Kapoor,Vimi,Ajit,Kedar Kapoor,Action,Comedy,Drama,Patanga",A wealthy male decides to wed a woman who is in love with his employee's son.
3703,Parde Ke Peechey,K. Shankar,"Vinod Mehra,Yogeeta Bali,Pran,K. Shankar,Action,Parde Ke Peechey",By the misuse of ancient beliefs and customs  cheats and anti national international crooks cheat gullible un-educated people.
3704,Paraya Dhan,Rajendra Bhatia,"Hema Malini,Rakesh Roshan,Balraj Sahni,Rajendra Bhatia,Drama,Thriller,Paraya Dhan",Rajjoo alias Rajni lives in a small village in rural India with her father  Govindram  who is a respected gentleman as well as the village Sarpanch. When Rajni comes of age  Govindram ...                    
3706,Preet Ki Dori,Satish Kumar,"Parikshat Sahni,Tanuja,Bindu,Satish Kumar,Action,Drama,Romance,Preet Ki Dori",Govind lives a wealthy lifestyle in Pritampur. When his father was dying  he made Govind promise that he would always obey his mother. Years later  Govind has completed his studies and ...                    
3707,Preetam,Bhappi Sonie,"Shammi Kapoor,Leena Chandavarkar,Helen,Bhappi Sonie,Comedy,Romance,Preetam",Rukmani gets married to Rana and faces endless abuse and beatings which do not end even when she gets pregnant. The Police arrest Rana for Robbery  try him in Court and sentence him to ...                    
3708,Rakhwala,Adurthi Subba Rao,"Dharmendra,Leena Chandavarkar,Vinod Khanna,Adurthi Subba Rao,Action,Musical,Thriller,Rakhwala",Dharmendra plays Deepak  an honest  hard working son. His family consists of his widowed mother and younger brother Suresh. By luck  he stumbles on a good job  but with the wrong man  Mr. ...                    
3709,Pyar Ki Kahani,Ravikant Nagaich,"Mala Sinha,Tanuja,Amitabh Bachchan,Ravikant Nagaich,Comedy,Drama,Family,Pyar Ki Kahani",Although well qualified  Ram Chand is unable to obtain suitable employment  and works as a peon in an organization. One day he meets with Ravi Chand  who is on the verge of committing ...                    
3710,Reshma Aur Shera,Sunil Dutt,"Waheeda Rehman,Sunil Dutt,Rakhee Gulzar,Sunil Dutt,Drama,Musical,Romance,Reshma Aur Shera",Reshma and Shera belong to rival families.They fall in love even after knowing rivalry among their families.Sagat Singh  Shera's father doesn't accept this and forces his younger son Chotu ...                    
3713,Sharmeelee,Samir Ganguly,"Shashi Kapoor,Rakhee Gulzar,Nasir Hussain,Samir Ganguly,Musical,Mystery,Romance,Sharmeelee",An army captain falls for an outgoing young woman  but unknowingly weds her shy twin sister.
3714,Shri Krishna Leela,Homi Wadia,"Pritam Arjun,Baburaje,Master Baby,Homi Wadia,Adventure,Comedy,Drama,Shri Krishna Leela",Maharaj Kans rules Mathura and lives a lavish and wealthy lifestyle. He gets his sister  Devki  married to Vasudev  but shortly after the marriage finds out that Devki's 8th child will kill...                    
3716,Tulsi Vivah,Chandrakant,"Abhi Bhattacharya,Jayshree Gadkar,Geetanjali,Chandrakant,Adventure,Fantasy,Tulsi Vivah",Rajkumari Vrunda lives in a palatial home with her mom and dad. One day while hunting she is molested by thugs  and Samrat Jalandhar comes to her aid. He rescues her and accompanies her to ...                    
3717,Upaasna,Mohan J. Bijlani,"Sanjay Khan,Mumtaz,Feroz Khan,Mohan J. Bijlani,Drama,Romance,Upaasna",Two brothers battle against each other in court when their lady love Shalu is accused of murder.
3718,Uphaar,Sudhendu Roy,"Swarup Dutt,Jaya Bachchan,Suresh Chatwal,Sudhendu Roy,Family,Uphaar",Anoop studies law in Calcutta  while his widowed mom in a small town in West Bengal. He has a sister  Sudha  who is married to Anil and lives in Calcutta. Since Anoop is of marriageable age...                    
3719,Johny Mera Naam,Vijay Anand,"Dev Anand,Hema Malini,Pran,Vijay Anand,Action,Drama,Musical,Johny Mera Naam",Monu (Mohan) and Sonu (Sohan) are the two sons of a police inspector. The kids excel in boxing. Their father gets killed by a goon following orders from Ranjit (Premnath). Mohan kills the ...                    
3720,Sachaa Jhutha,Manmohan Desai,"Rajesh Khanna,Mumtaz,Vinod Khanna,Manmohan Desai,Action,Comedy,Thriller,Sachaa Jhutha",A penniless musician is unwittingly forced to trade places with a look-alike diamond merchant/thief causing a comedy of errors by everyone involved.
3721,Aan Milo Sajna,Mukul Dutt,"Rajesh Khanna,Asha Parekh,Vinod Khanna,Mukul Dutt,Drama,Musical,Romance,Aan Milo Sajna",Widowed and ailing Savitri Choudhury lives a wealthy lifestyle along with her son  Anil  in a palatial mansion in India. She knows that Anil is only waiting for her to die so that he can ...                    
3722,Purab Aur Pachhim,Manoj Kumar,"Ashok Kumar,Saira Banu,Manoj Kumar,Manoj Kumar,Drama,Romance,Purab Aur Pachhim",Circa British rule in India  Harnam betrays a freedom fighter  and as a result is rewarded  but the freedom fighter is killed  leaving his wife  and family devastated and destitute. Years ...                    
3723,Safar,Asit Sen,"Rajesh Khanna,Sharmila Tagore,Feroz Khan,Asit Sen,Drama,Romance,Safar",Neela and Avinash are medical students  and are attracted to each other. But Avinash is poor and wants Neela to live a comfortable life. When Neela  who tutors Monto Kappor  meets his elder...                    
3724,Humjoli,Ramanna,"Jeetendra,Leena Chandavarkar,Pran,Ramanna,Comedy,Musical,Romance,Humjoli",Village-based Gopalnath (Pran) had always dreamed of becoming rich. On a visit to Bombay city  his dreams are fulfilled when he agrees to marry plain-looking Roopa  the sole heiress of a ...                    
3726,Khilona,Chander Vohra,"Sanjeev Kumar,Mumtaz,Durga Khote,Chander Vohra,Drama,Musical,Romance,Khilona",Thakur Suraj Singh lives a wealthy lifestyle with his wife; three sons - Kishore  his wife Laxmi & two children Pappu and Laali; Vijaykamal  & Mohan; and an unmarried daughter  Radha. ...                    
3727,Kab? Kyoon? Aur Kahan?,Arjun Hingorani,"Dharmendra,Babita Kapoor,Pran,Arjun Hingorani,Action,Mystery,Romance,Kab? Kyoon? Aur Kahan?",An heiress accidentally kills her uncle in self-defence and disposes of his corpse but is later haunted by his apparition.
3728,Jeevan Mrityu,Satyen Bose,"Dharmendra,Rakhee Gulzar,Ajit,Satyen Bose,Drama,Romance,Thriller,Jeevan Mrityu",A bank manager is unjustly framed for robbery by his colleagues and imprisoned. After his release  he assumes another identity to exact vengeance.
3729,Tum Haseen Main Jawan,Bhappi Sonie,"Dharmendra,Hema Malini,Rajendra Nath,Bhappi Sonie,Comedy,Romance,Tum Haseen Main Jawan",Surendra is an army officer  and has had numerous affairs with a number of attractive young women. One day he meets with beautiful Anuradha  and falls in love with her. Anuradha too loves ...                    
3730,Pehchan,Sohanlal Kanwar,"Manoj Kumar,Babita Kapoor,Balraj Sahni,Sohanlal Kanwar,Drama,Family,Musical,Pehchan",Bombay-based Barkha lives a wealthy lifestyle with her widowed mom and brother  Rakesh  who is to marry a wealthy woman by the name of Maya. Barkha meets with a naive man from Vishnupur by ...                    
3731,Gopi,A. Bhimsingh,"Dilip Kumar,Saira Banu,Pran,A. Bhimsingh,Action,Comedy,Drama,Gopi",Unorthodox  honest  simple-minded  and unemployed Gopi is blamed for a theft he did not commit  and gets thrown out of his home by his elder step-brother.
3732,Ganwaar,Naresh Kumar,"Vyjayanthimala,Rajendra Kumar,Nishi,Naresh Kumar,Drama,Family,Musical,Ganwaar",Raja Sahib is a pious and good-hearted man. After the death of his wife he sent his only son Gopal to England for higher education and himself got married. His young wife handed over the ...                    
3733,Sharafat,Asit Sen,"Ashok Kumar,Dharmendra,Hema Malini,Asit Sen,Drama,Romance,Sharafat",With the passing away of Rajesh's parents  Jagatram undertakes to look after him. He hopes that some day Rajesh will marry his daughter Rekha. He arranges Rajesh's employment with a local ...                    
3734,Sawan Bhadon,Mohan Segal,"Navin Nischol,Rekha,Shyama,Mohan Segal,Action,Romance,Thriller,Sawan Bhadon",A wealthy Vikram returns to India from England after five years.His step mother Sulochana and step sister Dolly are misusing his wealth along with Dolly's lover Madan and Sulochana's ...                    
3735,Abhinetri,Subodh Mukherji,"Shashi Kapoor,Hema Malini,Deb Mukherjee,Subodh Mukherji,Drama,Romance,Abhinetri",A chance meeting between an Assistant Scientist  Shekar  and an established stage dancer and singer  Anjana  results in love. While Shekar has a mother who lives separately  Anjana has been...                    
3736,Aansoo Aur Muskan,P. Madhavan,"Hema Malini,Parikshat Sahni,Jagdeep,P. Madhavan,Comedy,Drama,Family,Aansoo Aur Muskan",Beautiful Radha lives in a small hill-station in India. One day  Mahesh comes for sight-seeing  both meet  fall in love with each other  get intimate  and Mahesh promises to return  marry ...                    
3737,Rootha Na Karo,Sunder Dar,"Shashi Kapoor,Nanda,Kumari Naaz,Sunder Dar,Comedy,Drama,Family,Rootha Na Karo",Naina loves Sudhir on the sly  and is jealous of Sudhir's love for Neeta. When Sudhi does not reciprocate her love  she decides to create all kinds of misunderstandings for the two. ...                    
3738,Saas Bhi Kabhi Bahu Thi,V. Madhusudan Rao,"Sanjay Khan,Leena Chandavarkar,Jagdeep,V. Madhusudan Rao,Comedy,Drama,Saas Bhi Kabhi Bahu Thi",Pretty Sadhana  the daughter of Rangpur-based widow  Bhagmati  falls in love  and gets married to Haripur-based Deepak Chaudhary  who lives with his dad  Motilal; and mom  Maya. It is here ...                    
3739,Suhana Safar,Vijay,"Shashi Kapoor,Sharmila Tagore,Lalita Pawar,Vijay,Comedy,Drama,Suhana Safar","Watch the full movie  Suhana Safar online  only on Eros Now. Sapna (Sharmila Tagore)  flying back to India from the USA is involved in an airplane engine ""flameout"". She loves poetry  in ...                    "
3741,Geet,Ramanand Sagar,"Rajendra Kumar,Mala Sinha,Nasir Hussain,Ramanand Sagar,Action,Crime,Musical,Geet",Delhi-based Kamla lives a wealthy lifestyle along with her widower dad  Dindayal  and is a popular stage singer and dancer. She goes for a holiday in scenic Kulu  meets with flute-player ...                    
3742,Heer Raanjha,Chetan Anand,"Raaj Kumar,Priya Rajvansh,Pran,Chetan Anand,Drama,Family,Musical,Heer Raanjha","Tragic love story. Punjabi ""Romeo and Juliet""."
3743,Mastana,Adurthi Subba Rao,"Mehmood,Padmini,Bharathi,Adurthi Subba Rao,Comedy,Drama,Family,Mastana",Simple-minded  poor  and lonely Satya (Mehmood) finds friendship with a rich but neglected child  Nain-Tara. The snobbish parents of Nain-Tara resent this friendship and prevent their ...                    
3744,Devi,V. Madhusudan Rao,"Nutan,Sanjeev Kumar,Rehman,V. Madhusudan Rao,Drama,Family,Devi",Devi is a young woman who lives in a village in India with her widowed mother  Jamuna. She meets with the local doctor  Shekhar  both fall in love with each other  and get married. This ...                    
3746,Aag Aur Daag,A. Salaam,"Joy Mukherjee,Poonam Sinha,,A. Salaam,Action,Comedy,Drama,Aag Aur Daag",Bombay-based Young Raja witnesses his parents commit suicide after being cheated and defeated in a game of cards by an unknown male. He grows up under the mentor-ship of Madanlal  who ...                    
3747,Bachpan,Kolli Pratyagatma,"Sulochana Chatterjee,Pratima Devi,Baby Gayatri,Kolli Pratyagatma,Action,Comedy,Crime,Bachpan",Kashiram lives a poor lifestyle in a small village along with his wife  Chanda; two school-going children  Suraj and Meera; and makes a living selling toys. When his father-in-law falls ill...                    
3748,Bhai-Bhai,Raja Nawathe,"Sunil Dutt,Asha Parekh,Mumtaz,Raja Nawathe,Action,Drama,Family,Bhai-Bhai",Deep Sharma lives a very poor lifestyle with his widowed mom  Radha  and a younger brother  Ashok  who he would like to become a Judge. Unable to fend for themselves in the small town  Deep...                    
3749,Chetna,B.R. Ishara,"Anil Dhawan,Shatrughan Sinha,Rehana Sultan,B.R. Ishara,Drama,Chetna",A shy and reclusive young man  Anil Dhawan  gets to meet a prostitute  Seema  through his friends  Ramesh. Anil is very shy at the very first meeting with Seema  and then starts to ...                    
3751,Dharti,C.V. Sridhar,"Rajendra Kumar,Waheeda Rehman,Balraj Sahni,C.V. Sridhar,Action,Adventure,Drama,Dharti",Bharat (Rajendra Kumar) is a patriotic young man for whom patritism does not stop anywhere. He comes to know of the tyrancy of the present ruler's Diwan (Ajit) and he and his colleagues (...                    
3757,Ishq Par Zor Nahin,Ramesh Saigal,"Sadhana,Dharmendra,Biswajit Chatterjee,Ramesh Saigal,Romance,Ishq Par Zor Nahin",Amar Doraiswamy is the only child of multi-millionaire businessman  who lives in a palatial house in Goa  India  along with his wife. Amar introduces a close  but poor friend  Ram  to his ...                    
3759,Maa Aur Mamta,Asit Sen,"Nutan,Ashok Kumar,Nirupa Roy,Asit Sen,Drama,Family,Maa Aur Mamta",Father Henry (Rehman) entrusts a newly-born infant in the care of an unwed Maya (Nutan)  leaving her to explain the presence of the child. She is literally thrown out of the village and ...                    
3760,Bombay Talkie,James Ivory,"Shashi Kapoor,Jennifer Kendal,Zia Mohyeddin,James Ivory,Drama,Musical,Romance,Bombay Talkie",Lucia Lane  an English writer by way of the US  arrives in Bombay to watch the filming of one of her novels. She's nearing middle age  she's had several husbands  she's lonely and ...                    
3761,Man Ki Aankhen,Raghunath Jhalani,"Waheeda Rehman,Dharmendra,Sujit Kumar,Raghunath Jhalani,Drama,Man Ki Aankhen",After working as a teacher in Delhi for several years  Master Dinanath decides to re-locate to a small village to spend the rest of the days teaching in a nearby school  his pay is the ...                    
3762,Mera Naam Joker,Raj Kapoor,"Manoj Kumar,Simi Garewal,Achala Sachdev,Raj Kapoor,Comedy,Drama,Mera Naam Joker",Raju is a joker  a clown. It is what he is and what he always shall be. As his life story unfolds in three chapters  from his school days to the circus to the streets  he must always make ...                    
3763,Mere Humsafar,Dulal Guha,"Sharmila Tagore,Jeetendra,Balraj Sahni,Dulal Guha,Romance,Mere Humsafar",This is a story of small dreams that clashed with heartlessness of big city. Raju's dad passes away  the local money-lender gives him an ultimatum to either re-pay the loan or he will take ...                    
3764,Moojrim,Kewal Misra,"Joy Mukherjee,Kumud Chuggani,Dev Kumar,Kewal Misra,Action,Crime,Musical,Moojrim",Gopal is a gold-medalist race-car driver. One day while driving  he witnesses a girl screaming for help atop an under-construction building  he charges up the stairs  gets into a scuffle ...                    
3767,Pagla Kahin Ka,Shakti Samanta,"Shammi Kapoor,Asha Parekh,Prem Chopra,Shakti Samanta,Drama,Romance,Pagla Kahin Ka",Sujit started having mental problems when he was six years after visiting his dad  Ajit  at a mental asylum. Thereafter he kept on getting into trouble  and even ran away from the orphanage...                    
3769,Pavitra Paapi,Rajendra Bhatia,"Balraj Sahni,Tanuja,Parikshat Sahni,Rajendra Bhatia,Drama,Pavitra Paapi",Kedarnath is employed with a local clock/watch repair shop  owned by a parsimonious Adarshan Lala. Kedarnath goes out of his way to help a destitute woman  Maya  who husband is missing  ...                    
3770,Prem Pujari,Dev Anand,"Dev Anand,Waheeda Rehman,Shatrughan Sinha,Dev Anand,Action,Drama,Musical,Prem Pujari",Ramdev Bakshi is the only son of widower and former Indian Army General Durgaprasad  who has been decorated several times with various medals for bravery shown in the line of duty. Alas ...                    
3771,Puraskar,Ram Kumar,"Abhi Bhattacharya,Faryal,Ratan Gaurang,Ram Kumar,Action,Comedy,Crime,Puraskar",Rakesh and Sumesh are two plain-clothes agents in the city's Criminal Investigations Department. They have been entrusted the task of locating a missing  believed to be abducted scientist  ...                    
3772,Pushpanjali,Kishore Sahu,"Sanjay Khan,Naina Sahu,Kishore Sahu,Kishore Sahu,Drama,Family,Pushpanjali",Dinesh Khanna  his wife  Lata  and their son  Pappu  lead a harmonious and happy upper-middle class life in Bombay  India. Despite of their happiness  they know that Lata's heart is weak  ...                    
3773,Raaton Ka Raja,Rajesh Nahta,"Dolly,Jeevan,Dheeraj Kumar,Rajesh Nahta,Drama,Raaton Ka Raja","Raja is hired to steal the Anarkali  a 5000-year-old sculpture  from the ""SAFEST"" museum ( which is HOLLOW from the top!!)."
3776,Aadmi Aur Insaan,Yash Chopra,"Dharmendra,Saira Banu,Feroz Khan,Yash Chopra,Drama,Romance,Thriller,Aadmi Aur Insaan",Munish and JK were friends  bound together in many ways. JK has helped Munish in his education  a trip to England for higher education and has now made him Engineer-in-charge for his ...                    
3777,Aansoo Ban Gaye Phool,Satyen Bose,"Ashok Kumar,Deb Mukherjee,Alka,Satyen Bose,Drama,Family,Aansoo Ban Gaye Phool",Principal Vidyanand (Ashok Kumar) is a hardworking and diligent person. Due to his honesty  he gets in the wrong side of Seth Dharamdas (Raj Mehra)  who conspires with Vidyanand's pupil  ...                    
3778,Anjaana,Mohan Kumar,"Rajendra Kumar,Babita Kapoor,Pran,Mohan Kumar,Romance,Anjaana",Raju lives with his widowed mother  Janki  in a small town and works as garage mechanic. One day he meets with wealthy Rachna Malhotra  and after a few misunderstandings  both fall in love ...                    
3780,Anjan Hai Koyee,Babubhai Mistry,"Feroz Khan,Nalini,Helen,Babubhai Mistry,Action,Comedy,Crime,Anjan Hai Koyee",A male comes to see his future wife after she meets with an accident  and gets embroiled in deception and murder.
3783,Beti,Harmesh Malhotra,"Nanda,Sanjay Khan,Kishore Sahu,Harmesh Malhotra,Drama,Beti",Sudha Verma wants to be the ideal daughter for her dad  and mom. Unfortunately  her mom passes away  and her dad re-marries  this time to Kamla  who is self-serving and not at all ...                    
3784,Chanda Aur Bijli,Atma Ram,"Sanjeev Kumar,Padmini,Jeevan,Atma Ram,Drama,Chanda Aur Bijli",A beautiful street dancer Bijli is in a gang of petty thieves. Sachin is the heir to a heritage household but due to the death of his parents lands up in a orphanage. In the orphanage when ...                    
3785,Chirag,Raj Khosla,"Sunil Dutt,Asha Parekh,Om Prakash,Raj Khosla,Drama,Family,Musical,Chirag",Ajay Singh meets with pretty Asha Chibber  and is led to believe that she is wealthy. After a few misunderstandings  he does find out that she is from a poor family. Both do fall in love  ...                    
3786,Dharti Kahe Pukarke,Dulal Guha,"Nanda,Jeetendra,Sanjeev Kumar,Dulal Guha,Drama,Family,Dharti Kahe Pukarke",This is the story of three brothers Gangaram  Moti and Shiv. Story revolves around Moti who is now an advocate in the big city owing to loan which his brother Gangaram took for his ...                    
3787,Do Bhai,Brij,"Ashok Kumar,Mala Sinha,Jeetendra,Brij,Action,Crime,Drama,Do Bhai",The Bombay-based Verma family consists of two brothers  Ajay  and Vijay. Their family have been law-makers for generations  their grandfather was the District Magistrate  and their father ...                    
3788,Aradhana,Shakti Samanta,"Rajesh Khanna,Sharmila Tagore,Sujit Kumar,Shakti Samanta,Drama,Musical,Romance,Aradhana",Arun meets Vandana during a vacation and very soon they secretly get married.Arun is a air force pilot an dies in a crash leaving pregnant Vandana heartbroken.As her marriage was never ...                    
3789,Aya Sawan Jhoom Ke,Raghunath Jhalani,"Asha Parekh,Dharmendra,Ravindra Kapoor,Raghunath Jhalani,Drama,Romance,Aya Sawan Jhoom Ke",Wealthy Jaishankar meets and falls in love with Aarti  successfully woos her and agrees to meet with her dad to discuss their marriage. On the way there he ironically runs over him  killing...                    
3793,Doli,Adurthi Subba Rao,"Rajesh Khanna,Babita Kapoor,Prem Chopra,Adurthi Subba Rao,Drama,Romance,Doli",Amar lives a middle-class life in India with his oft-critical dad  Basantlal and his mom  a housewife. When Basantlal decides to get Amar married to Ramprasad's daughter  Amar accepts this....                    
3794,Ek Phool Do Mali,Devendra Goel,"Sanjay Khan,Balraj Sahni,Sadhana,Devendra Goel,Drama,Family,Musical,Ek Phool Do Mali",Somna lives a poor lifestyle with her widowed mom  Leela  in the mountainous region of India and Nepal. She makes a living working on the apple farm of wealthy widower  Kailash Nath Kaushal...                    
3795,Ek Shriman Ek Shrimati,Bhappi Sonie,"Shashi Kapoor,Babita Kapoor,Rajendra Nath,Bhappi Sonie,Drama,Romance,Ek Shriman Ek Shrimati",Deepali is the only daughter of a wealthy but deceased industrialist  Lakhanpal. While on a holiday in Northern India  she meets with and gets friendly with Pritam. Unknown to her  Pritam ...                    
3797,Intaquam,R.K. Nayyar,"Ashok Kumar,Sadhana,Sanjay Khan,R.K. Nayyar,Drama,Thriller,Intaquam",Humiliated and falsely imprisoned  Reeta Mehra (Sadhana) swears to take revenge against Sohanlal (Rehman). Upon her release she finds out that her ailing mother (Leela Chitnis) has passed ...                    
3798,Bhuvan Shome,Mrinal Sen,"Utpal Dutt,Suhasini Mulay,Shekhar Chatterjee,Mrinal Sen,Comedy,Drama,Bhuvan Shome",Bhuvan Shome is a lonely widower  a proud old man and a strict disciplinarian. Looking back on the trodden path  strewn with staunch determination and drab attitudes  Bhuvan Shome  a ...                    
3799,Do Raaste,Raj Khosla,"Rajesh Khanna,Mumtaz,Balraj Sahni,Raj Khosla,Drama,Family,Musical,Do Raaste",Navendu was a young motherless boy when his father married again. The step-mother saw the fear and doubt in the eyes of the boy and she promised him that he will be like a real son to her. ...                    
3800,Jigri Dost,Ravikant Nagaich,"Jeetendra,Mumtaz,K.N. Singh,Ravikant Nagaich,Drama,Family,Musical,Jigri Dost",Advocate Narayan Das lives a comfortable lifestyle in rural India with his wife  Annapurna  who insists on feeding everyone who is hungry; and a lovely daughter  Shobha. Since Shobha is of ...                    
3802,Jeene Ki Raah,L.V. Prasad,"Jeetendra,Tanuja,Anjali Kadam,L.V. Prasad,Drama,Family,Musical,Jeene Ki Raah",Desperate to earn money to support his extended family  Mohan becomes entangled in a web of deceit when he tells a lie in order to obtain a secretarial job in the city with the wealthy Mr ...                    
3803,Mahal,Shankar Mukherjee,"Dev Anand,Asha Parekh,Farida Jalal,Shankar Mukherjee,Crime,Mystery,Romance,Mahal",To pay for his sister's marriage  a brother enters into a criminal conspiracy to impersonate the nephew of a wealthy male.
3805,Mahua,Bibhuti Mitra,"Shiv Kumar,Anjana Mumtaz,Prem Nath,Bibhuti Mitra,Musical,Romance,Mahua",While playing his flute one day in the countryside  Brahmdesh  comes across a beautiful young woman. He is attracted to her and is told that her name is Mahua. When he is about to introduce...                    
3807,Pyar Ka Mausam,Nasir Hussain,"Asha Parekh,Shashi Kapoor,Bharat Bhushan,Nasir Hussain,Drama,Musical,Romance,Pyar Ka Mausam",Seema is the only child of widowed Mohan  who is adopted by Mohan's boss  Sardar Ranjit Singh  who has no heir to his estate  as his daughter  Jamuna  eloped with a much poor peasant  Gopal...                    
3808,Pyar Ka Sapna,Hrishikesh Mukherjee,"Ashok Kumar,Biswajit Chatterjee,Mala Sinha,Hrishikesh Mukherjee,Comedy,Drama,Family,Pyar Ka Sapna",Ramesh marries a village girl  Sudha (who doesn't know English) at the behest of his parents so that he can go abroad to Great Britain for furthering his studies. In short  he does not love...                    
3810,Raja Saab,Suraj Prakash,"Shashi Kapoor,Nanda,Kamal Kapoor,Suraj Prakash,Romance,Raja Saab",Born and brought up in an orphanage  it has always been Rajoo's dream of becoming a wealthy man  particularly a Prince of any region. His dreams land him in trouble when he misbehaves with ...                    
3811,Sachaai,K. Shankar,"Shammi Kapoor,Sadhana,Sanjeev Kumar,K. Shankar,Action,Comedy,Crime,Sachaai",Ashok and Kishore (Shammi Kapoor and Sanjeev Kumar respectively) are two room-mates  living in a hostel. While Ashok takes to crime and dishonesty  Kishore is honest to a fault. When ...                    
3812,Sajan,Mohan Segal,"Asha Parekh,Manoj Kumar,Om Prakash,Mohan Segal,Comedy,Mystery,Romance,Sajan",Ashok comes from a business family and lives a very wealthy lifestyle. One day while perusing newspapers he comes across an article which claims that he is to marry a dancer named Rajni. ...                    
3814,Pyar Hi Pyar,Bhappi Sonie,"Vyjayanthimala,Dharmendra,Pran,Bhappi Sonie,Romance,Pyar Hi Pyar",In order to win the heart of the beautiful Kavita  Vijay Pratap decides to masquerades as a wealthy industrialist and does succeed in winning Kavita's heart but Kavita has another charming ...                    
3816,Talash,O.P. Ralhan,"Rajendra Kumar,Sharmila Tagore,O.P. Ralhan,O.P. Ralhan,Romance,Thriller,Talash",A business man must choose between keeping his promise to marry a poor village belle  or making it big by wedding his boss's daughter: a wealthy Westernized girl who bares a striking resemblance to his first love.
3817,Satyakam,Hrishikesh Mukherjee,"Ashok Kumar,Dharmendra,Sharmila Tagore,Hrishikesh Mukherjee,Drama,Satyakam",The tale begins in the final days of the British Raj in India. A cohort of engineering students graduate a few months before Independence. Satyapriya and Naren are among the graduate ...                    
3818,Sara Akash,Basu Chatterjee,"Madhu Chakravarty,Nandita Thakur,Rakesh Pandey,Basu Chatterjee,Drama,Sara Akash",A collegian becomes embittered after being forced to marry.
3819,Tumse Achha Kaun Hai,Pramod Chakravorty,"Shammi Kapoor,Babita Kapoor,Mehmood,Pramod Chakravorty,Comedy,Drama,Romance,Tumse Achha Kaun Hai",In order to get medical treatment for his sister  a brother faces challenges when he is hired to subdue three out-of-control heiresses.
